Yil,Ay,Donem,Sanayi_Tuketim_MWh,Sanayi_Pay_Yuzde,Kaynak_Dosya
2020,8,2020-08,8615813.64,38.706,_PortalAdmin_Uploads_Content_FastAccess_1597da3f39850.docx
2020,9,2020-09,9162314.98,41.615,_PortalAdmin_Uploads_Content_FastAccess_4991201d95065.docx
2020,10,2020-10,9368984.0,46.244,_PortalAdmin_Uploads_Content_FastAccess_051641c324108.docx
2020,11,2020-11,9097941.06,46.921,_PortalAdmin_Uploads_Content_FastAccess_fdae816916948.docx
2020,12,2020-12,9338796.51,44.13,_PortalAdmin_Uploads_Content_News_2234dc9921633.docx
2021,1,2021-01,9092373.83,45.531,_PortalAdmin_Uploads_Content_FastAccess_369e1c7261406.docx
2021,2,2021-02,8534372.61,44.71,_PortalAdmin_Uploads_Content_FastAccess_ed61b01c77845.docx
2021,3,2021-03,9631322.9,46.123,_PortalAdmin_Uploads_Content_FastAccess_7f9ddff947334.docx
2021,4,2021-04,9088603.36,44.427,_PortalAdmin_Uploads_Content_FastAccess_a03ebed917650.docx
2021,5,2021-05,8466615.33,43.394,_PortalAdmin_Uploads_Content_FastAccess_706dfe3866461.docx
2021,6,2021-06,9465890.39,45.212,_PortalAdmin_Uploads_Content_FastAccess_deb06f5288244.docx
2021,7,2021-07,8612565.2,39.15,_PortalAdmin_Uploads_Content_FastAccess_9469496339519.docx
2021,8,2021-08,9883659.2,40.024,_PortalAdmin_Uploads_Content_FastAccess_a80a931036876.docx
2021,9,2021-09,9559252.95,42.633,_PortalAdmin_Uploads_Content_FastAccess_2b0943eb31226.docx
2021,10,2021-10,9701650.27,47.165,_PortalAdmin_Uploads_Content_FastAccess_07e9f8cc71252.docx
2021,11,2021-11,9780662.29,46.1,_PortalAdmin_Uploads_Content_FastAccess_f80e4ef022472.docx
2021,12,2021-12,9805530.69,45.105,_PortalAdmin_Uploads_Content_FastAccess_02df867852204.docx
2022,1,2022-01,8693393.18,41.06,_PortalAdmin_Uploads_Content_FastAccess_deda584e94213.docx
2022,2,2022-02,9070253.89,42.71,_PortalAdmin_Uploads_Content_FastAccess_b7a2797582841.docx
2022,3,2022-03,9973407.57,46.25,_PortalAdmin_Uploads_Content_FastAccess_fc407bed16857.docx
2022,4,2022-04,9260104.53,46.64,_PortalAdmin_Uploads_Content_FastAccess_7429911590338.docx
2022,5,2022-05,8588792.31,43.44,_PortalAdmin_Uploads_Content_FastAccess_29153ef590799.docx
2022,6,2022-06,9510252.78,44.63,_PortalAdmin_Uploads_Content_FastAccess_ba1fef9a31902.docx
2022,7,2022-07,8036776.85,36.94,_PortalAdmin_Uploads_Content_FastAccess_d274971b38299.docx
2022,8,2022-08,9175353.87,37.45,_PortalAdmin_Uploads_Content_FastAccess_dd8e572c75338.docx
2022,9,2022-09,8967700.34,40.28,_PortalAdmin_Uploads_Content_FastAccess_3d8a81a712090.docx
2022,10,2022-10,9116898.48,45.29,_PortalAdmin_Uploads_Content_FastAccess_5128c0d858840.docx
